id;ordem;family_ver;subfamily;genera_ver;species_ver;author_ver;ref_ver;iucn_classification;body_weight_g;body_weight_g_sd;bill_rostrum_lenght_mm;bill_rostrum_lenght_mm_sd;tongue_lenght_mm;n_input;;;;;;;;;;;;;;;;;;
1;Apodiformes;Trochilidae;Trochilinae;Amazilia;brevirostris;(Lesson, 1829);Piacentin et al., 2015;lc;3.85;0.2;17.35;0.92;NA;2;;;;;;;;;;;;;;;;;;
2;Apodiformes;Trochilidae;Trochilinae;Amazilia;cf. fimbriata;NA;NA;NA;NA;NA;NA;NA;NA;2;;;;;;;;;;;;;;;;;;
3;Apodiformes;Trochilidae;Trochilinae;Amazilia;fimbriata;(Gmelin, 1788);Piacentin et al., 2015;lc;3.34;0.21;19.11;0.4;NA;44;;;;;;;;;;;;;;;;;;
4;Apodiformes;Trochilidae;Trochilinae;Amazilia;lactea;(Lesson, 1832);Piacentin et al., 2015;lc;5;NA;18.24;0.59;NA;16;;;;;;;;;;;;;;;;;;
5;Apodiformes;Trochilidae;Trochilinae;Amazilia;leucogaster;(Gmelin, 1788);Piacentin et al., 2015;lc;4;NA;23;NA;NA;3;;;;;;;;;;;;;;;;;;
6;Apodiformes;Trochilidae;Trochilinae;Amazilia;sp. 1;Lesson, 1843;Piacentin et al., 2015;NA;NA;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
7;Apodiformes;Trochilidae;Trochilinae;Amazilia;sp. 2;Lesson, 1843;Piacentin et al., 2015;NA;NA;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
8;Apodiformes;Trochilidae;Trochilinae;Amazilia;sp. 3;Lesson, 1843;Piacentin et al., 2015;NA;NA;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
9;Apodiformes;Trochilidae;Trochilinae;Amazilia;sp. 4;Lesson, 1843;Piacentin et al., 2015;NA;NA;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
10;Apodiformes;Trochilidae;Trochilinae;Amazilia;versicolor;(Vieillot, 1818);Piacentin et al., 2015;lc;4.4;NA;17.45;0.8;12.8;36;;;;;;;;;;;;;;;;;;
11;Apodiformes;Trochilidae;Trochilinae;Anthracothorax;nigricollis;(Vieillot, 1817);Piacentin et al., 2015;lc;6.62;0.25;23.49;0.99;NA;18;;;;;;;;;;;;;;;;;;
12;Apodiformes;Trochilidae;Trochilinae;Aphantochroa;cirrochloris;(Vieillot, 1818);Piacentin et al., 2015;lc;9;NA;21.61;1.57;NA;15;;;;;;;;;;;;;;;;;;
13;Apodiformes;Trochilidae;Trochilinae;Augastes;scutatus;(Temminck, 1824);Piacentin et al., 2015;lc;5;NA;18.5;NA;NA;2;;;;;;;;;;;;;;;;;;
14;Apodiformes;Trochilidae;Trochilinae;Calliphlox;amethystina;(Boddaert, 1783);Piacentin et al., 2015;lc;2.5;NA;13;NA;NA;9;;;;;;;;;;;;;;;;;;
15;Apodiformes;Trochilidae;Trochilinae;Chlorestes;notata;(Reich, 1793);Piacentin et al., 2015;lc;4;NA;18.9;NA;NA;4;;;;;;;;;;;;;;;;;;
16;Apodiformes;Trochilidae;Trochilinae;Chlorostilbon;aff. lucidus;NA;Piacentin et al., 2015;NA;NA;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
17;Apodiformes;Trochilidae;Trochilinae;Chlorostilbon;lucidus;(Shaw, 1812);Piacentin et al., 2015;lc;3;NA;18.58;NA;NA;44;;;;;;;;;;;;;;;;;;
18;Apodiformes;Trochilidae;Trochilinae;Chlorostilbon;lucidus pucherani;(Boucier & Mulsant, 1948);Piacentin et al., 2015;lc;NA;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
19;Apodiformes;Trochilidae;Trochilinae;Chrysolampis;mosquitus;(Linnaeus, 1758);Piacentin et al., 2015;lc;4;NA;16.35;3.89;NA;3;;;;;;;;;;;;;;;;;;
20;Apodiformes;Trochilidae;Trochilinae;Colibri;serrirostris;(Vieillot, 1816);Piacentin et al., 2015;lc;7;NA;22;NA;NA;10;;;;;;;;;;;;;;;;;;
21;Apodiformes;Trochilidae;Trochilinae;Eupetomena;cf. macroura;(Gmelin, 1788);Piacentin et al., 2015;NA;NA;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
22;Apodiformes;Trochilidae;Trochilinae;Eupetomena;macroura;(Gmelin, 1788);Piacentin et al., 2015;lc;7.87;1.1;22.96;1.6;17.6;48;;;;;;;;;;;;;;;;;;
23;Apodiformes;Trochilidae;Trochilinae;Florisuga;fusca;(Vieillot, 1817);Piacentin et al., 2015;lc;8;0.83;22.22;0.93;17.6;53;;;;;;;;;;;;;;;;;;
24;Apodiformes;Trochilidae;Phaethornithinae;Glaucis;dohrnii;(Bourcier & Mulsant, 1852);Piacentin et al., 2015;en;7.59;2;30.44;1.25;NA;2;;;;;;;;;;;;;;;;;;
25;Apodiformes;Trochilidae;Phaethornithinae;Glaucis;hirsutus;(Gmelin, 1788);Piacentin et al., 2015;lc;7.65;0.9;32.26;1.48;NA;22;;;;;;;;;;;;;;;;;;
26;Apodiformes;Trochilidae;Trochilinae;Heliactin;bilophus;(Temminck, 1820);Piacentin et al., 2015;lc;2.5;NA;14.5;NA;NA;2;;;;;;;;;;;;;;;;;;
27;Apodiformes;Trochilidae;Trochilinae;Heliodoxa;rubricauda;(Boddaert, 1783);Piacentin et al., 2015;lc;7.95;0.3;21.25;0.6;15.2;28;;;;;;;;;;;;;;;;;;
28;Apodiformes;Trochilidae;Trochilinae;Heliomaster;squamosus;(Temminck, 1823);Piacentin et al., 2015;lc;6.5;NA;30.59;0.59;NA;6;;;;;;;;;;;;;;;;;;
29;Apodiformes;Trochilidae;Trochilinae;Heliothryx;auritus;(Gmelin, 1788);Piacentin et al., 2015;lc;5;NA;16;NA;NA;4;;;;;;;;;;;;;;;;;;
30;Apodiformes;Trochilidae;Trochilinae;Hylocharis;chrysura;(Shaw, 1812);Piacentin et al., 2015;lc;04.08;0.38;19.13;1.3;NA;6;;;;;;;;;;;;;;;;;;
31;Apodiformes;Trochilidae;Trochilinae;Hylocharis;cyanus;(Vieillot, 1818);Piacentin et al., 2015;lc;3.28;0.36;17.33;01.04;NA;15;;;;;;;;;;;;;;;;;;
32;Apodiformes;Trochilidae;Trochilinae;Hylocharis;sapphirina;(Gmelin, 1788);Piacentin et al., 2015;lc;4;NA;20;NA;NA;2;;;;;;;;;;;;;;;;;;
33;Apodiformes;Trochilidae;Trochilinae;Leucochloris;albicollis;(Vieillot, 1818);Piacentin et al., 2015;lc;6.21;0.39;22.31;0.93;16;41;;;;;;;;;;;;;;;;;;
34;Apodiformes;Trochilidae;Trochilinae;Lophornis;chalybeus;(Temminck, 1821);Piacentin et al., 2015;nt;4;0.57;13.97;1.13;9.6;12;;;;;;;;;;;;;;;;;;
35;Apodiformes;Trochilidae;Trochilinae;Lophornis;magnificus;(Vieillot, 1817);Piacentin et al., 2015;lc;3;NA;11;NA;NA;5;;;;;;;;;;;;;;;;;;
36;Apodiformes;Trochilidae;Trochilinae;NA;sp.;NA;NA;NA;NA;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
37;Apodiformes;Trochilidae;Phaethornithinae;Phaethornis;aff. petrei;NA;Piacentin et al., 2015;NA;NA;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
38;Apodiformes;Trochilidae;Phaethornithinae;Phaethornis;cf. petrei;NA;Piacentin et al., 2015;NA;NA;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
39;Apodiformes;Trochilidae;Phaethornithinae;Phaethornis;eurynome;(Lesson, 1832);Piacentin et al., 2015;lc;05.07;0.5;36.56;0.8;27.2;45;;;;;;;;;;;;;;;;;;
40;Apodiformes;Trochilidae;Phaethornithinae;Phaethornis;idaliae;(Bourcier & Mulsant, 1856);Piacentin et al., 2015;lc;1.8;NA;23;NA;NA;10;;;;;;;;;;;;;;;;;;
41;Apodiformes;Trochilidae;Phaethornithinae;Phaethornis;margarethae;Ruschi, 1972;Piacentin et al., 2015;NA;NA;NA;37.15;4.11;NA;2;;;;;;;;;;;;;;;;;;
42;Apodiformes;Trochilidae;Phaethornithinae;Phaethornis;pretrei;(Lesson & DeLattre, 1839);Piacentin et al., 2015;lc;5.73;0.62;32.17;1.21;NA;34;;;;;;;;;;;;;;;;;;
43;Apodiformes;Trochilidae;Phaethornithinae;Phaethornis;ruber;(Linnaeus, 1758);Piacentin et al., 2015;lc;2;0.06;23.06;1.23;NA;44;;;;;;;;;;;;;;;;;;
44;Apodiformes;Trochilidae;Phaethornithinae;Phaethornis;ruber pygmaeus;(Spix, 1825);Piacentin et al., 2015;NA;NA;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
45;Apodiformes;Trochilidae;Phaethornithinae;Phaethornis;sp. 1;NA;NA;NA;NA;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
46;Apodiformes;Trochilidae;Phaethornithinae;Phaethornis;sp. 2;NA;NA;NA;NA;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
47;Apodiformes;Trochilidae;Phaethornithinae;Phaethornis;sp. 3;NA;NA;NA;NA;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
48;Apodiformes;Trochilidae;Phaethornithinae;Phaethornis;sp. 4;NA;NA;NA;NA;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
49;Apodiformes;Trochilidae;Phaethornithinae;Phaethornis;sp. 5;NA;NA;NA;NA;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
50;Apodiformes;Trochilidae;Phaethornithinae;Phaethornis;sp. 6;NA;NA;NA;NA;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
51;Apodiformes;Trochilidae;Phaethornithinae;Phaethornis;squalidus;(Temminck, 1822);Piacentin et al., 2015;lc;2.5;NA;24;NA;NA;17;;;;;;;;;;;;;;;;;;
52;Apodiformes;Trochilidae;Trochilinae;Polytmus;guainumbi;(Pallas, 1764);Piacentin et al., 2015;lc;5;NA;23;NA;NA;2;;;;;;;;;;;;;;;;;;
53;Apodiformes;Trochilidae;Phaethornithinae;Ramphodon;naevius;(Dumont, 1818);Piacentin et al., 2015;nt;7.68;01.01;33.22;2.39;NA;45;;;;;;;;;;;;;;;;;;
54;Apodiformes;Trochilidae;Trochilinae;Stephanoxis;lalandi;(Vieillot, 1818);Piacentin et al., 2015;lc;2.26;0.2;15.86;0.75;12;18;;;;;;;;;;;;;;;;;;
55;Apodiformes;Trochilidae;Trochilinae;Thalurania;furcata;(Gmelin, 1788);Piacentin et al., 2015;lc;4.38;0.37;19.93;02.01;NA;5;;;;;;;;;;;;;;;;;;
56;Apodiformes;Trochilidae;Trochilinae;Thalurania;glaucopis;(Gmelin, 1788);Piacentin et al., 2015;lc;4.75;0.43;19.83;0.98;14.4;111;;;;;;;;;;;;;;;;;;
57;Apodiformes;Trochilidae;Trochilinae;Thalurania;sp.;Gould, 1848;NA;NA;NA;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
58;Apodiformes;Trochilidae;Trochilinae;Thalurania;watertonii;(Boucier, 1847);Piacentin et al., 2015;en;NA;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
59;Chiroptera;Phyllostomidae;Glossophaginae;Anoura;caudifer;(É. Geoffroy, 1818);Nogueira et al., 2014;lc;11.3;1.14;NA;NA;NA;30;;;;;;;;;;;;;;;;;;
60;Chiroptera;Phyllostomidae;Glossophaginae;Anoura;geoffroyi;Gray, 1838;Nogueira et al., 2014;lc;12.8;2.4;9.7;0.9;NA;14;;;;;;;;;;;;;;;;;;
61;Chiroptera;Phyllostomidae;Stenodermatinae;Artibeus;lituratus;(Olfers, 1818);Nogueira et al., 2014;lc;72;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
62;Chiroptera;Phyllostomidae;Stenodermatinae;Artibeus;planirostris;(Spix, 1823);Nogueira et al., 2014;lc;NA;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
63;Chiroptera;Phyllostomidae;Stenodermatinae;Chiroderma;doriae;Thomas, 1891;Nogueira et al., 2014;lc;NA;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
64;Chiroptera;Phyllostomidae;Carolliinae;Carollia;perspicillata;(Linnaeus, 1758);Nogueira et al., 2014;lc;17;NA;NA;NA;NA;5;;;;;;;;;;;;;;;;;;
65;Chiroptera;Phyllostomidae;Glossophaginae;Glossophaga;soricina;(Pallas, 1766);Nogueira et al., 2014;lc;9.6;NA;7.7;NA;NA;36;;;;;;;;;;;;;;;;;;
66;Chiroptera;Phyllostomidae;Lonchophyllinae;Lonchophylla;cf. bokermanni;NA;NA;NA;NA;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
67;Chiroptera;Phyllostomidae;Lonchophyllinae;Lonchophylla;peracchii;Dias, Esbérard & Moratelli, 2013;Nogueira et al., 2014;lc;12;NA;17.55;0.19;NA;3;;;;;;;;;;;;;;;;;;
68;Chiroptera;Phyllostomidae;Glossophaginae;NA;sp. 1;NA;NA;NA;NA;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
69;Chiroptera;Phyllostomidae;Glossophaginae;NA;sp. 2;NA;NA;NA;NA;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
70;Chiroptera;Phyllostomidae;Glossophaginae;NA;sp. 3;NA;NA;NA;NA;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
71;Chiroptera;Phyllostomidae;Glossophaginae;NA;sp. 4;NA;NA;NA;NA;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
72;Chiroptera;Phyllostomidae;Phyllostominae;Phyllostomus;discolor;(Wagner, 1843);Nogueira et al., 2014;lc;42.2;2.9;NA;9.8;NA;4;;;;;;;;;;;;;;;;;;
73;Chiroptera;Phyllostomidae;Phyllostominae;Phyllostomus;hastatus;(Pallas, 1767);Nogueira et al., 2014;lc;74.27;15.18;9.8;NA;NA;3;;;;;;;;;;;;;;;;;;
74;Chiroptera;Phyllostomidae;Stenodermatinae;Platyrrhinus;lineatus;(É. Geoffroy, 1810);Nogueira et al., 2014;lc;25;NA;NA;NA;NA;7;;;;;;;;;;;;;;;;;;
75;Chiroptera;Phyllostomidae;Stenodermatinae;Platyrrhinus;recifinus;(Thomas, 1901);Nogueira et al., 2014;lc;19.46;3.23;NA;NA;NA;3;;;;;;;;;;;;;;;;;;
76;Chiroptera;Phyllostomidae;Stenodermatinae;Pygoderma;bilabiatum;(Wagner, 1843);Nogueira et al., 2014;lc;NA;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
77;Chiroptera;Phyllostomidae;Rhinophyllinae;Rhinophylla;pumilio;Peters, 1865;Nogueira et al., 2014;lc;10.25;NA;5;NA;NA;1;;;;;;;;;;;;;;;;;;
78;Chiroptera;Phyllostomidae;Stenodermatinae;Sturnira;lilium;(É. Geoffroy, 1810);Nogueira et al., 2014;lc;21;NA;NA;NA;NA;2;;;;;;;;;;;;;;;;;;
79;Columbiformes;Columbidae;Columbinae;Zenaida;auriculata noronha;Sharpe, 1890;Piacentin et al., 2015;lc;95;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
80;Cuculiformes;Cuculidae;Cuculinae;Piaya;cayana;(Linnaeus, 1766);Piacentin et al., 2015;lc;98;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
81;Didelphimorphia;Didelphidae;Caluromyinae;Caluromys;philander;(Linnaeus, 1758);Paglia et al., 2012;lc;265;176.78;NA;NA;NA;;;;;;;;;;;;;;;;;;;
82;Didelphimorphia;Didelphidae;Didelphinae;Didelphis;marsupialis;Linnaeus, 1758;Paglia et al., 2012;lc;1650;800;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
83;Galliformes;Cracidae;NA;Penelope;obscura;Temminck, 1815;Piacentin et al., 2015;lc;NA;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
84;Passeriformes;Fringilidae;Trochilinae;Euphonia;pectoralis;(Latham, 1801);Piacentin et al., 2015;lc;15;NA;NA;NA;NA;2;;;;;;;;;;;;;;;;;;
85;Passeriformes;Fringilidae;Trochilinae;Euphonia;violacea;(Linnaeus, 1758);Piacentin et al., 2015;lc;14.8;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
86;Passeriformes;Icteridae;NA;Cacicus;cela;(Linnaeus, 1758);Piacentin et al., 2015;lc;71;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
87;Passeriformes;Icteridae;NA;Cacicus;chrysopterus;(Vigors, 1825);Piacentin et al., 2015;lc;38.7;NA;NA;NA;NA;3;;;;;;;;;;;;;;;;;;
88;Passeriformes;Icteridae;NA;Cacicus;haemorrhous;(Linnaeus, 1766);Piacentin et al., 2015;lc;68;NA;NA;NA;NA;10;;;;;;;;;;;;;;;;;;
89;Passeriformes;Icteridae;NA;Psarocolius;decumanus;(Pallas, 1769);Piacentin et al., 2015;lc;NA;NA;NA;NA;NA;3;;;;;;;;;;;;;;;;;;
90;Passeriformes;Oxyruncidae;NA;Oxyruncus;cristatus;Swainson, 1821;Piacentin et al., 2015;lc;42;NA;NA;NA;NA;2;;;;;;;;;;;;;;;;;;
91;Passeriformes;Pipridae;Piprinae;Ceratopripa;rubrocapila;(Temminck, 1821);Piacentin et al., 2015;lc;14.7;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
92;Passeriformes;Ploceidae;NA;Passer;domesticus;(Linnaeus, 1758);Piacentin et al., 2015;lc;NA;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
93;Passeriformes;Psittacidae;Pssitacinae;Brotogeris;tirica;(Gmelin, 1788);Piacentin et al., 2015;lc;63;NA;NA;NA;NA;5;;;;;;;;;;;;;;;;;;
94;Passeriformes;Psittacidae;Psittacinae;Primolius;maracana;(Vieillot, 1816);Piacentin et al., 2015;nt;NA;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
95;Passeriformes;Thraupidae;Hemithraupinae;Chlorophanes;spiza;(Linnaeus, 1758);Piacentin et al., 2015;lc;18.5;NA;16.25;NA;NA;3;;;;;;;;;;;;;;;;;;
96;Passeriformes;Thraupidae;Thraupinae;Cissopis;leveriuanus;(Gmelin, 1788);Piacentin et al., 2015;NA;NA;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
97;Passeriformes;Thraupidae;Coerebinae;Coereba;flaveola;(Linnaeus, 1758);Piacentin et al., 2015;lc;10.5;NA;12.22;0.78;NA;33;;;;;;;;;;;;;;;;;;
98;Passeriformes;Thraupidae;Dacninae;Cyanerpes;cyaneus;(Linnaeus, 1766);Piacentin et al., 2015;lc;14.5;NA;19;NA;NA;3;;;;;;;;;;;;;;;;;;
99;Passeriformes;Thraupidae;Dacninae;Dacnis;cayana;(Linnaeus, 1766);Piacentin et al., 2015;lc;15;NA;NA;NA;NA;10;;;;;;;;;;;;;;;;;;
100;Passeriformes;Thraupidae;Dacninae;Dacnis;nigripis;Pelzeln, 1856;Piacentin et al., 2015;nt;13.25;NA;NA;NA;NA;2;;;;;;;;;;;;;;;;;;
101;Passeriformes;Cardinalidae;NA;Habia;rubica;(Vieillot, 1817);Piacentin et al., 2015;lc;32.7;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
102;Passeriformes;Thraupidae;Hemithraupinae;Hemithraupis;ruficapilla;(Vieillot, 1818);Piacentin et al., 2015;lc;13;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
103;Passeriformes;Thraupidae;Tachyphoninae;Lanio;cristatus;(Linnaeus, 1766);Piacentin et al., 2015;lc;19.8;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
104;Passeriformes;Thraupidae;Nemosiinae;Nemosia;pileata;(Boddaert, 1783);Piacentin et al., 2015;lc;17;NA;NA;NA;NA;2;;;;;;;;;;;;;;;;;;
105;Passeriformes;Thraupidae;NA;Orthogonys;chloricterus;(Vieillot, 1819);Piacentin et al., 2015;lc;NA;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
106;Passeriformes;Thraupidae;Tachyphoninae;Ramphocelus;bresilius;(Linnaeus, 1766);Piacentin et al., 2015;lc;NA;NA;15.88;0.59;NA;4;;;;;;;;;;;;;;;;;;
107;Passeriformes;Thraupidae;Thraupinae;Tangara;cayana;(Linnaeus, 1766);Piacentin et al., 2015;lc;NA;NA;NA;NA;NA;3;;;;;;;;;;;;;;;;;;
108;Passeriformes;Thraupidae;Thraupinae;Tangara;cyanocephala;(Statius Muller, 1776);Piacentin et al., 2015;lc;18.8;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
109;Passeriformes;Thraupidae;Thraupinae;Tangara;desmaresti;(Vieillot, 1819);Piacentin et al., 2015;lc;20.25;NA;NA;NA;NA;2;;;;;;;;;;;;;;;;;;
110;Passeriformes;Thraupidae;Thraupinae;Tangara;palmarum;(Wied, 1821);Piacentin et al., 2015;lc;31.3;NA;NA;NA;NA;2;;;;;;;;;;;;;;;;;;
111;Passeriformes;Thraupidae;Thraupinae;Tangara;sayaca;(Linnaeus, 1766);Piacentin et al., 2015;lc;31;NA;NA;NA;NA;6;;;;;;;;;;;;;;;;;;
112;Passeriformes;Thraupidae;Thraupinae;Tangara;seledon;(Statius Muller, 1776);Piacentin et al., 2015;lc;18.2;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
113;Passeriformes;Thraupidae;Thraupinae;Tangara;sp.;Brisson, 1760;NA;NA;NA;NA;NA;NA;NA;2;;;;;;;;;;;;;;;;;;
114;Passeriformes;Thraupidae;Thraupinae;Tangara;velia;(Linnaeus, 1758);Piacentin et al., 2015;lc;21;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
115;Passeriformes;Tyrannidae;Elaeniinae;Elaenia;ridleyana;Sharpe, 1888;Piacentin et al., 2015;vu;NA;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
116;Passeriformes;Vireonidae;NA;Vireo;gracilirostris;Sharpe, 1890;Piacentin et al., 2015;nt;NA;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
117;Piciformes;Picidae;Picinae;Celeus;flavescens;(Gmelin, 1788);Piacentin et al., 2015;lc;137.5;NA;NA;NA;NA;4;;;;;;;;;;;;;;;;;;
118;Primates;Atelidae;Atelinae;Brachyteles;arachnoides;(É. Geoffroy, 1806);Paglia et al., 2012;cr;2000;NA;NA;NA;NA;2;;;;;;;;;;;;;;;;;;
119;Primates;Atelidae;Atelinae;Brachyteles;hypoxanthus;(Kuhl, 1820);Paglia et al., 2012;cr;130;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
120;Primates;Callitrichidae;Callithrichinae;Leontopithecus;chrysomelas;(Kuhl, 1820);Paglia et al., 2012;en;600;141;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
121;Primates;Callitrichidae;Callithrichinae;Leontopithecus;rosalia;(Linnaeus, 1766);Paglia et al., 2012;en;600;200;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
122;Primates;Cebidae;Callithrichinae;Callithrix;flaviceps;(Thomas, 1903);Paglia et al., 2012;cr;400;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
123;Primates;Cebidae;Callithrichinae;Callithrix;kuhlii;Coimbra-Filho, 1985;Paglia et al., 2012;vu;315;120;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
124;Primates;Cebidae;NA;Sapajus;nigritus;(Linnaeus, 1758);Paglia et al., 2012;lc;8.9;4.1;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
125;Psittaciformes;Psittacidae;Pssitacinae;Brotogeris;chiriri;(Vieillot, 1818);Piacentin et al., 2015;lc;NA;NA;NA;NA;NA;2;;;;;;;;;;;;;;;;;;
126;Psittaciformes;Psittacidae;Psittacinae;Pionus;maximiliani;(Kuhl, 1820);Piacentin et al., 2015;lc;NA;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
127;Psittaciformes;Psittacidae;Psittacinae;Psittacara;leucophthalmus;(Statius Muller, 1776);Piacentin et al., 2015;lc;NA;NA;NA;NA;NA;3;;;;;;;;;;;;;;;;;;
128;Psittaciformes;Psittacidae;Psittacinae;Pyrrhura;frontalis;(Vieillot, 1817);Piacentin et al., 2015;lc;83;NA;NA;NA;NA;3;;;;;;;;;;;;;;;;;;
129;Squamata;Scincidae;NA;Trachylepis;atlantica;Costa and Bérnils (2015);Rocha et al., 2009;lc;NA;NA;NA;NA;NA;1;;;;;;;;;;;;;;;;;;
